Filenames,ox,oy,oz,ux,uy,uz,vx,vy,vz,width,height,nr,depths
641_2002_2568_NM01_s004.png,494.7035355412672,455.0702715855918,335.45277923291883,-518.2229323422132,-4.019655552753022,-18.218173586459272,9.16022987737233,-8.370686574230376,-375.7102668057821,1024,670,4,441.1060111211432
641_2002_2568_NM01_s014.png,484.287387366718,432.7136431058971,343.3505999889654,-518.3684415870839,-3.7731771173446305,-7.1937557689040545,5.988090088589388,-8.497752106368068,-380.3858270092228,1024,670,14,418.68064887221357
641_2002_2568_NM01_s024.png,474.6357471627421,409.72956247500576,323.06165899611744,-505.24354549520825,-3.634015176392495,-5.068254621176379,4.716813132723701,-8.34766778846182,-373.30587481795203,1024,670,24,402.85524323567176
641_2002_2568_NM01_s034.png,472.16364039072107,387.3725834439963,328.4783755761953,-475.40937143348447,-3.420522101716756,-4.81765627295988,1.0090495275338753,-8.364295753698855,-372.8958001429649,1024,670,34,388.54129822803833
641_2002_2568_NM01_s039.png,488.47305587981157,376.2018316854768,326.0860146426917,-495.08733024680373,-3.2081342264602313,10.750268267107458,-13.126131304352498,-8.853894088608115,-390.3176959586512,1024,670,39,374.3336211464766
641_2002_2568_NM01_s044.png,480.0259018479722,364.92924790371814,326.84103418332285,-485.27496214555714,-2.9735237480614956,18.155481679715308,-21.179982409438423,-8.474394465727528,-370.9135238665065,1024,670,44,355.94916051797003
641_2002_2568_NM01_s049.png,486.6243497451481,353.7945988999622,329.0707314725968,-484.3703119124465,-3.011182394831394,16.197237904139968,-17.802140602964926,-8.788079493692749,-385.9347817401785,1024,670,49,349.6899571443528
641_2002_2568_NM01_s054.png,470.0987538014934,342.1499180691287,315.75811898974126,-481.1003370482472,-3.322965368129644,1.2941721060931854,-5.238355119008702,-8.355661419394664,-370.57225346386326,1024,670,54,338.1633466559308
641_2002_2568_NM01_s059.png,479.869136932752,330.95957311728586,314.52245653879515,-500.4841026474262,-3.7072336636045975,-9.806952959071054,8.455889655160263,-8.470296173697307,-379.92871432230186,1024,670,59,337.130695974875
641_2002_2568_NM01_s064.png,492.63893753612695,320.34063423658097,337.8088265441634,-491.44729837150203,-3.111799088583325,13.911681928655128,-10.408933748149195,-8.569497813969747,-378.4927320383973,1024,670,64,321.20206858068747
641_2002_2568_NM01_s069.png,476.72995430902995,309.3153965516032,351.8975499108683,-486.5933144409168,-3.315355213979899,3.3379544465465187,-4.571344826583754,-8.759816357304658,-388.782109663887,1024,670,69,300.78168162150143
641_2002_2568_NM01_s074.png,484.15818820711445,297.5741772384328,326.8504093165005,-484.69978911644574,-3.304392725247453,3.2385837024845046,-2.9336940649883445,-8.465471397116062,-376.1789459427262,1024,670,74,287.47099813670485
641_2002_2568_NM01_s079.png,485.9602980229754,286.4502125099361,331.0446082637339,-503.3109343504447,-3.4391183496480267,3.01346423622266,0.4904082755107311,-8.772978298926944,-390.9393608873968,1024,670,79,277.810001266003
641_2002_2568_NM01_s084.png,494.2612924672466,275.21172235115074,328.12035993712476,-514.0348879444832,-3.249782902047343,14.775579254919819,-10.357128741544045,-8.642234487230269,-381.748822531418,1024,670,84,264.85526280780124
641_2002_2568_NM01_s089.png,491.6639930734267,264.0684618890417,332.8204552218468,-493.23633458332887,-3.2889845226634407,6.574340970197284,-7.681846023505443,-8.589259568756148,-380.21938562223477,1024,670,89,253.57452826363894
641_2002_2568_NM01_s094.png,488.85076790174037,252.79715980718004,331.8840168272983,-494.0420197041745,-3.272594631018592,7.554475532905997,-3.5961274686765137,-8.245116308088939,-366.1577653855563,1024,670,94,240.7614594482468
641_2002_2568_NM01_s099.png,482.4260073219318,242.01425064883293,353.82364721489387,-496.89635537726065,-4.1424934740349215,-30.308825929455963,21.670995233407325,-8.53858920129474,-387.0722142725523,1024,670,99,228.87859504196427
641_2002_2567_NM01_s104.png,473.39329718809154,230.2934141293185,334.79320920337943,-486.4020176185339,-3.0336965272059047,15.824923439448867,-5.591138787075124,-8.367370624175038,-370.98434116192976,1024,670,104,223.20386902849253
641_2002_2568_NM01_s109.png,487.3377819827928,219.22812394923858,337.8325470045841,-510.8916931973721,-3.2566023684623246,13.49630670479388,-11.989148851791526,-8.694375035907768,-383.56488277056474,1024,670,109,213.23577990278687
641_2002_2568_NM01_s114.png,495.3089946744313,207.97753437954486,334.4716924278445,-505.5843379400497,-3.1480057367261622,16.686494245201345,-11.680493112026852,-8.746281387080018,-385.9728133501088,1024,670,114,206.82523254092328
641_2002_2568_NM01_s119.png,482.99945673110903,196.78659318357984,340.06214681629393,-512.3122791900644,-3.203459084372952,16.304438563684585,-11.877772333281996,-8.733060154523514,-385.32265368528635,1024,670,119,193.15615554033906
641_2002_2568_NM01_s124.png,480.2959346029409,185.35808277096538,332.08893073809185,-484.67329747668344,-2.7253440327195904,29.023754597033815,-18.92525418387686,-8.259537312745437,-362.04261242676154,1024,670,124,184.59091781798318
641_2002_2568_NM01_s129.png,492.2762229320198,174.4480303716235,342.65284891814105,-507.8219315987439,-3.509577788958694,1.274912709211776,-1.3567109183431398,-8.65288667358314,-385.01667989405513,1024,670,129,169.16993338837355
641_2002_2568_NM01_s134.png,485.6375040294772,162.91600057020887,331.289714497945,-504.6775099475762,-3.218028236939489,13.285943025747827,-11.357877117811427,-8.585042994257861,-378.89067715691135,1024,670,134,165.0109045932557
641_2002_2568_NM01_s139.png,484.94952521106273,151.9585890167348,343.6757775629568,-513.3116488598406,-3.7144217003466338,-6.145972255010065,5.576740166057164,-8.08770751160958,-361.9929637114267,1024,670,139,143.38003941936395
641_2002_2568_NM01_s144.png,496.5954262337566,141.05978187418566,354.84438561366386,-516.4643899188532,-3.6235130873631647,-1.1180057980407128,3.879205737959012,-8.471490977737119,-378.56152805009197,1024,670,144,133.46067689479895
641_2002_2568_NM01_s154.png,491.9739036809277,118.48376501307004,351.1713082101883,-536.1856670638995,-3.4083605022231183,14.586453667787396,-9.46775382580222,-9.523615639819795,-421.28546424376975,1024,670,154,116.24668211946478
641_2002_2568_NM01_s159.png,498.5117591517684,107.31232065015874,351.7807576512523,-542.7452668851059,-3.42311241532974,15.965217862935333,-13.200519841070786,-9.103789755924936,-401.4260622698273,1024,670,159,108.90141600296434
641_2002_2568_NM01_s164.png,477.89320985279585,95.7411865895984,343.01451559294924,-519.1497506483258,-3.735556988191931,-5.275504465725476,5.738783305335232,-8.80478592764868,-393.98509286207195,1024,670,164,97.87446074596672
641_2002_2568_NM01_s169.png,478.3493146083947,84.36482743122475,336.38372217188675,-503.1417286025757,-3.3870505549691643,5.280251940019639,-5.561766466018071,-8.760954922675708,-388.52544129971443,1024,670,169,85.77964390894246
