R3hdm1	949.159
Cald1	3354.39
Btaf1	829.477
Sec16a	4697.15
Raph1	3234.31
Syngap1	37816.7
Yjefn3	1485.92
Tpr	19875.9
Lonrf2	1835.69
Tmem132b	3872.06
Morc3	1156.5
Skic3	2464.98
Pcdh9	3686.54
Agl	6294.48
Zc3h7b	1542.55
Farp1	16333.8
Usp32	1829.18
Fryl	1343.81
Srp72	3377.38
Gucy1a2	7946.08
Mcc	952.576
Myh2	4798.05
QNG1	1677.9
Dhx16	1388.84
Sec24c	8885.98
Nccrp1	1985.3975
Sipa1l3	1187.85
Arfgef1	3447.35
Pnma8b	9429.13
Kbtbd2	8821.63
Grip2	2696.88
Lrrc10b	738.823
Rab11fip2	2874.06
Atp2b1	94078.4
Trip12	2434.75
Kbtbd7	839.6084999999999
Opcml	12334.4
Ank3	31384.5
Brd1	1251.395
Arfip1	2290.44
Evi5l	5253.84
Mdn1	420.656
Kif14;Kif9;Stard9	5379.95
Usp35	3538.61
Capn2	6917.69
S1pr1	11733.9
Cacna2d1	14386.7
Bin1	41256.5
Sec22b	14207.9
Dpysl2	414752.0
Rundc3a	3608.25
Emd	5186.58
Esrra;Esrrb	704.748
Gtpbp1	2255.76
Alyref	6370.04
Clta	101771.0
Pten	2584.09
Stxbp1	249518.0
Endog	3669.03
Myh11	1962.605
Ephb6	1731.87
Map3k4	5604.72
Metap2	4799.37
Kifc2	2096.75
Capn5	2921.59
Prdx6	70442.7
Akap1	2488.3
Ampd3	2724.2
Polr2j	4754.24
Unc5c	1054.31
Dld	44286.2
Hsd17b10	24833.1
Ube3a	11474.8
Tcof1	3667.56
Dctn1	18735.1
Prkcsh	6223.78
Serpinb9	2511.72
Prdx4	31669.7
Diaph1	3175.5
Eftud2	6250.87
Ercc2	1422.35
Gfra2	651.077
RO60	1773.79
Pik3r2	1331.22
Faah	8549.75
Aip	6416.38
Flot1	20091.3
Numbl	28384.8
Cyth3	2415.33
Mras	4720.96
Sdcbp	887.654
Pex5	1283.82
Snap23	2534.99
Psmb1	12356.6
Ndufb11	61683.8
Sema4d	468.916
Gsto1	8905.19
Sod3	999.06
Rpl21	15060.6
Gclm	7976.62
Amacr	1505.26
Vps26c	1261.24
Agpat1	11354.1
Dpysl4	47588.0
Map3k5	2145.38
Scarb2	4318.01
Atn1	637.883
Grcc10	3555.48
Phb2	84368.6
Ncam2	9525.87
Atp5if1	41874.2
Terf2	1162.04
Gosr2	2490.56
Cx3cl1	1287.69
Ddt	15867.0
Cpsf2	3344.14
Psmd4	5716.4
Ptpn9	2974.87
Exoc7	3806.72
Dhx15	20246.0
Purb	21653.4
Slc18a3	1835.47
Slc6a6	50505.3
Srsf5	18506.7
Kpna4	6408.18
Kpna3	1484.54
Kpna6	691.16
Capn1	2302.89
Anp32a	20546.3
Exoc4	6439.35
Hax1	5068.34
Efnb3	4758.4
Pld3	18431.0
Folh1	2879.75
Pdyn	5814.86
Dhodh	3816.5
Prrt1	12632.3
Fkbpl	2596.93
Clcn6	2048.86
Ech1	2541.67
Fkbp8	654.78
Edil3	897.231
Slc27a2	1026.64
Cdk14	3705.76
Stx1a	88707.0
Rabep1	6235.81
Psmd14	18066.0
Adam10	2466.78
Bmpr2	3182.95
Scamp3	5676.2
Pmm1	10450.9
Slc32a1	30962.2
Stag2	371.321
Anxa3	4247.01
Ap1b1	23945.5
Pold2	555.924
Neu1	966.287
C1qbp	16501.7
Hap1	8106.96
Mgll	6337.37
Syt3	890.727
Myadm	15450.6
Ndufa1	6336.81
Serpini1	2033.05
Nudc	15711.5
Pnn	18164.8
Ring1	708.606
Hnrnph1	16992.0
Api5	19639.6
Bcat2	2033.65
Timm44	5116.15
Cops5	16188.6
Slc1a4	7002.54
Calu	6323.44
Lsm2	4797.3
Cdk5r2	1233.03
Ctnnd2	15230.7
Fxn	1871.83
Pitpnm1	16180.8
Rab33b	5504.04
Mrpl23	1617.49
Zw10	2020.4
Cavin1	3697.46
Ddost	16434.1
Ap3d1	9710.7
Srpk2	5893.87
Dapk3	2211.4700000000003
Tpd52l1	4235.44
Bysl	1410.35
Rgs9	7166.23
Rgs7	15536.0
Csnk2a2	7093.75
Arhgap6	3287.53
Gucy1b1	9018.07
Hmgb3	6954.27
Cd200	6399.18
Reps1	5048.06
Pakap	4902.01
Smarce1	5157.79
Dnajb6	11404.5
Prkag1	3653.89
Banf1	8658.45
Tnk2	757.222
Crym	88307.3
Get3	30742.2
Slk	53993.0
Cntnap1	18891.1
Bnip3	2545.0
Trappc3	15072.0
Cacna1b	3880.42
Pgrmc1	24549.5
Impa1	16812.0
Entpd2	6625.53
Bckdk	500.239
Copb2	8185.22
Nck2	6583.25
Snca	173376.0
Tlk2	1509.76
Pde6d	1969.69
Tpmt	1412.13
Impact	9813.95
Syngr1	97826.8
Bloc1s1	2367.67
Strn	7709.11
Nipsnap1	5352.46
Nipsnap2	30002.8
Sap18	17562.9
Septin7	74459.4
Acot1	1426.83
Atp2a2	96990.0
Pja1	1187.47
Cbx4	1795.9
Supt5h	3375.19
Chkb	2617.76
Psmb5	17083.8
Rngtt	2236.45
Dhx9	34270.5
Dpm1	2957.15
Pip5k1c	8503.48
Stmn3	1650.61
Pip4k2a	22918.5
Eif3d	13320.1
Pdlim3	390.757
Atp9a	7254.98
Pgam2	4085.7
Eef1b	29782.8
Hmox2	7757.74
Grk6	1190.75
Atxn2	3073.38
Itgb5	1571.315
Nmt1	2246.91
Nmt2	3459.37
Epb41l2	18423.5
Gpx4	4654.29
Nptx2	7400.75
Dxo	1137.28
Ca11	1092.09
Emc8	8582.66
Pdlim1	1801.27
Gtf2h4	860.633
Psma3	15493.6
Stx7	11162.6
Gnaz	15801.0
Sfn	67384.5
Ugdh	342.642
Vamp4	4363.15
Ubr1	5420.46
Snx3	5874.24
Snx12	9358.66
Hsd17b12	8240.91
Hcn4	1218.67
Srpk1	1580.9
Diaph2	6267.65
Cask	8011.86
Pfdn2	11875.7
Ttc3	2680.19
Cfdp1	2303.56
Wiz	1231.01
Znf326	12191.7
Sorl1	3522.14
Nid2	6752.04
Wdr1	44462.5
Slc4a4	14199.9
Ikbkb	2180.335
Vti1b	8657.11
Papss2	943.466
Mtx2	12827.7
Adcy1	1955.9
Klc1	15227.6
Klc2	5637.56
Dhcr7	2453.56
Capns1	8499.21
Dync1i1	4448.67
Dync1i2	6083.49
Pde8a	1118.97
Cntfr	2849.7
Shoc2	1826.94
Ppt1	4632.28
